contributor_id,contributor_name,first_year,last_year,total_events,roles,career_span
543950,Charles Roberts,1920,1920,1,Actor,0
500445,Tom Haverey,1920,1920,1,Actor and Singer,0
544732,Doffie Walker,1920,1920,1,Actor and Singer,0
252813,Dorothy Seacombe,1920,1923,5,Actor,3
402024,Charles H Workman,1920,1922,3,Actor,2
528012,William Crooks,1920,1920,1,Actor,0
543951,Rege Robbins,1920,1920,1,Actor,0
454591,Walter Vincent,1920,1931,2,Actor,11
252803,Margaret Sutcliffe,1920,1921,4,Actor,1
252802,Lizette Parkes,1920,1921,4,Actor,1
401952,Mr F H Day,1920,1921,4,"Actor, Stage Manager",1
411200,Percy Claridge,1920,1923,3,"Actor, Actor and Singer",3
228166,Frank Harvey,1920,1939,33,"Actor, Actor and Singer, Director, Playwright, Producer",19
252801,Robert Toms,1920,1921,4,Actor,1
252800,Frederick Esmelton,1920,1921,4,"Actor, Producer",1
538101,Carrie Sleeman,1920,1920,3,Actor and Singer,0
231501,Arthur Greenaway,1920,1936,16,Actor,16
509806,Alma Rock-Phillips,1920,1922,3,Actor,2
543117,Charles Tolhurst,1920,1920,1,Actor,0
543116,Vernon Thompson,1920,1920,1,Actor,0
500446,Hal King,1920,1920,1,Actor and Singer,0
449487,Charles Mettam,1920,1922,6,"Actor, Actor and Singer",2
500447,Vera Walton,1920,1920,1,Actor and Singer,0
479748,Brian Lawrance,1920,1926,2,"Actor, Actor and Singer",6
254029,Leslie Manners,1920,1924,4,Actor,4
414236,Charles Bradley,1920,1922,4,"Actor, Actor and Singer",2
231007,William Stewart,1920,1920,2,Actor,0
254032,William Lockhart,1920,1930,6,Actor,10
522107,B Kelly,1920,1922,3,"Actor, Actor and Singer",2
536012,George Stephenson,1920,1920,1,Actor,0
536093,Plumpton Wilson,1920,1920,2,Actor,0
479948,Margaret Swallow,1920,1920,2,Actor,0
479944,Marie Rignold,1920,1920,2,Actor,0
479943,George Tully,1920,1920,2,Actor,0
536811,Kitty Burness,1920,1920,2,Actor and Singer,0
253370,Charles Walenn,1920,1927,26,"Actor, Actor and Singer, Producer",7
253366,Clarice Hardwicke,1920,1924,9,"Actor, Actor and Singer, Performer",4
419107,Beatrice Wenban,1920,1951,11,"Actor, Performer",31
479815,Sydney Yates,1920,1920,1,Actor,0
257027,George Welch,1920,1930,3,Actor,10
415001,Neill Alexander,1920,1923,4,Actor,3
253359,Maud Fane,1920,1925,8,"Actor, Actor and Singer",5
528562,Robert Jackson,1920,1925,3,"Actor, Actor and Singer",5
415002,Jessie Dale,1920,1923,4,Actor,3
253371,Arthur Glynn,1920,1922,2,Actor,2
415003,Vivian Langley,1920,1923,4,Actor,3
449490,Tom Minogue,1920,1922,5,"Actor, Actor and Singer",2
542131,Alice Bentley,1920,1920,1,Actor,0
