event_id,year,venue_id,contributor_ids
26369,1920,3257,[235609]
26677,1920,1403,"[253412, 238780, 253410, 238626, 236123]"
31330,1920,11904,"[238775, 233027, 230701, 259459, 233026]"
31332,1920,3257,"[542131, 259460, 401245, 542133, 401586, 228667, 542130, 533032, 542129, 412695, 401243, 401244, 542132]"
61156,1920,3257,"[235456, 401077, 538659, 401078, 252813, 401277, 236698, 401079, 235515, 237985, 413954, 401081, 401080, 412977]"
65584,1920,11904,"[238802, 236698, 406758, 259156, 236711, 406762, 257100, 400965, 406763, 406761, 401584, 406760, 406757, 254032]"
67996,1920,11904,"[238775, 259148, 233027, 235609, 230701, 407292, 259521, 401602, 233026, 259146, 240236, 248678]"
87196,1920,14935,"[483806, 483808, 483800, 483805, 520216, 401952, 520244, 520220, 520219, 520249, 402078, 520217, 520223, 520236, 520247, 483807, 483804]"
87198,1920,10410,"[483799, 483808, 483802, 483800, 483801, 520207, 520212, 401952, 520211, 520205, 402078, 520217]"
90409,1920,11904,"[535163, 452456, 412191, 538101, 538553, 411000, 229031, 440341, 232713, 413468, 449815, 417063, 536811, 410990, 238640, 533630, 539535, 253359, 411041, 538552, 259461, 538104, 528562, 524980, 446997, 529916]"
90410,1920,11904,"[238775, 259148, 235609, 230701, 447051, 259146, 240236, 248678]"
90411,1920,3257,"[238775, 259148, 233027, 544732, 411030, 230701, 407292, 259521, 233026, 240236, 411034, 248678]"
90412,1920,3257,"[233027, 235609, 413005, 230701, 407292, 447051, 233026, 259146, 248678]"
102010,1920,11904,"[253370, 259611, 236008]"
118035,1920,15300,"[492094, 502531, 502528, 245891, 402024, 253366, 469832, 253372, 237017, 407293, 488352, 245892, 257015, 230698, 227114, 468964, 502236, 492093, 502530]"
118036,1920,15300,"[412001, 479943, 502545, 502547, 502546, 479948, 479944, 237944, 502544]"
118137,1920,15300,"[502531, 228166, 237017, 502534, 502537, 402123, 238366, 230698, 259317, 402090]"
126282,1920,17898,[257881]
128130,1920,1403,"[533414, 235490, 502723, 533413, 246000, 232966, 400654, 230923, 492093, 400653]"
134348,1920,2849,"[238802, 236698, 406758, 259156, 236711, 406762, 257100, 400965, 406763, 406761, 401584, 406760, 406757, 254032]"
134350,1920,11904,"[419107, 238802, 238622, 539361, 259156, 236711, 406762, 257100, 539866, 538257, 400965, 226746, 539862, 539864, 410996, 539867, 539360, 411003, 406761, 401584, 248704]"
134359,1920,16152,"[257102, 500446, 500445, 500447]"
134360,1920,2849,"[415275, 259470]"
134361,1920,3257,"[540647, 460833, 539365, 534143, 238804, 257027, 253393, 539366, 401655, 252803, 539363, 460837, 530370, 237913, 479815, 460836]"
134363,1920,15300,"[492094, 245891, 237017, 492092, 227114, 468964, 406761, 492093]"
134372,1920,4236,"[233807, 253638, 258016, 258013, 258012, 258011, 230770, 258010, 258017, 231007]"
134374,1920,11904,"[238804, 401655, 460837, 460836]"
134379,1920,4236,"[242843, 235470, 258010, 245989, 235465, 231007]"
134393,1920,3257,"[230931, 253371, 535671, 237989, 252800, 535606, 238625, 252802, 238419, 461176, 252801, 238397, 533839]"
135807,1920,15300,"[502531, 228166, 237017, 502534, 502537, 402123, 238366, 230698, 259317, 402090]"
140308,1920,10410,"[507864, 507861, 504131, 235495, 507862, 507863]"
143799,1920,3257,"[401245, 228667, 401243, 401244]"
145011,1920,11904,"[452456, 479748, 541541, 412191, 538101, 538553, 259316, 405901, 229031, 541542, 446995, 410984, 413468, 449815, 411002, 238608, 410990, 238640, 533630, 401072, 411041, 538552, 259461, 411200, 248704, 257881, 524980, 449790, 446997, 257017]"
145017,1920,1403,"[401078, 401079, 235515, 237985, 401081, 401080]"
145018,1920,1403,"[401077, 401078, 236698, 401079, 237985, 238639, 401081, 401080]"
145027,1920,4236,"[257102, 415007, 235937, 253636, 415006, 415002, 413950, 407169, 235506, 412785, 415004, 415001, 415005, 415003]"
145096,1920,1403,"[231501, 259810, 516151, 228166, 542533, 241290, 254029, 238387, 236123, 226115, 407391, 257883, 478146, 451732, 230704, 528012]"
145205,1920,1403,"[235490, 502723, 533413, 534314, 232966, 542534, 400654, 230923]"
145206,1920,1403,"[533414, 502723, 533413, 246000, 400654, 230923, 400653]"
145207,1920,1403,"[235490, 543117, 502723, 533413, 534314, 246000, 232966, 542534, 400654, 230923, 543116]"
145210,1920,15300,"[259174, 479943, 241290, 502545, 502547, 502546, 479948, 479944, 257883, 237944]"
145211,1920,10410,[509806]
145212,1920,11904,"[401600, 449515, 259611, 461223, 449494, 449501]"
145218,1920,1403,"[231501, 533413, 246000, 232966, 542534, 400654, 536093, 235454, 230923, 492093, 400653]"
145219,1920,1403,"[235490, 502723, 533413, 246000, 400654, 230923, 400653]"
145220,1920,1403,"[533414, 235490, 502723, 533413, 534314, 246000, 400654, 536093, 230923, 492093]"
145221,1920,11904,"[253370, 259147, 403849, 236008]"
145229,1920,15300,"[401076, 237017, 245886, 259468, 259466, 233260, 227154]"
145232,1920,1403,"[533414, 543950, 502723, 533413, 533641, 228166, 536012, 534314, 246000, 400654, 543951, 230923, 492093]"
151983,1920,20398,"[465996, 526984, 488728, 513664, 526985, 454591, 526980]"
151999,1920,19686,"[465996, 231501, 526948, 527004, 527028, 526980]"
152000,1920,19681,"[507866, 513664, 527031, 527032, 467208, 525402, 527002]"
157677,1920,11904,"[452456, 538101, 538553, 411000, 229031, 440341, 232713, 413468, 449815, 417063, 536811, 410990, 238640, 533630, 539535, 253359, 411041, 538552, 259461, 538104, 528562, 524980, 446997, 529916]"
158047,1920,2849,"[541084, 541100, 541079, 541081, 541082, 541083, 541077, 541080, 541078, 541076, 541086]"
158531,1920,11904,"[401600, 522107, 414236, 449487, 253370, 449603, 259147, 411000, 449515, 259611, 238359, 449494, 449516, 236008, 449488, 449490, 449602]"
160564,1920,11904,"[401600, 522107, 414236, 449487, 253370, 449603, 259147, 411000, 449515, 259611, 238359, 449494, 449516, 236008, 449488, 449490, 453223]"
26359,1921,1403,"[509806, 230931, 252809, 259147, 252800, 401379, 238625, 230969, 538166, 252802, 538165, 252803, 537012, 461176, 412149, 523283, 252801, 529360, 533642, 533839]"
26361,1921,3257,"[401077, 530285, 236698, 237985, 492092, 252804, 253365, 530644, 253363, 545033]"
26362,1921,1403,"[252809, 259156, 237985, 252804, 253365, 252810, 233260, 545033, 533642]"
26363,1921,11904,"[237017, 245886, 225010, 245887]"
26364,1921,3257,"[401066, 252813, 401274, 400900, 535149, 545153, 401379, 253410, 545152, 259474, 451732, 249809]"
26365,1921,11904,"[535163, 245946, 491854, 240222, 239022, 259147, 237017, 245886, 237934, 402123, 225010, 245887, 259461, 259470, 227154, 457367]"
26366,1921,4236,"[235456, 402040, 402024, 245888, 401248, 402016, 402044, 402019, 402026, 403849, 241290, 233167, 402043, 259338, 245892, 257015, 402039, 402041, 238626, 514924, 236748, 259330, 402038, 545215]"
26367,1921,1403,"[252813, 252800, 238625, 252812, 252802, 252803, 252801]"
26650,1921,11904,"[452456, 259331, 259147, 229031, 232713, 257881]"
26654,1921,3257,"[259353, 259459, 253381, 400965]"
26782,1921,1403,"[237985, 252804, 253365, 253363]"
31222,1921,3257,"[400654, 400653]"
31223,1921,11904,"[238775, 402130, 259148, 233027, 235609, 411030, 230701, 238771, 411205, 233026, 240236, 248678]"
31225,1921,11904,"[229031, 259475]"
31328,1921,11904,"[259161, 259460, 226770, 259459, 259461]"
31329,1921,3257,"[502531, 236142, 253669, 530285, 236698, 228166, 400900, 400320, 253393, 401379, 236699, 259474, 401081]"
31333,1921,1403,"[545249, 404843, 252804, 253365, 233260, 253363, 451732, 545033, 533642]"
31334,1921,2849,"[401077, 253366, 228166, 237985, 236699, 259474, 230923]"
61142,1921,3257,"[235036, 400908, 401071, 401072]"
61149,1921,3257,"[259161, 238380, 226770, 259459]"
61153,1921,3257,"[401076, 245946, 237017, 245886, 259468, 259466, 253410, 233260, 539867, 545127, 227154, 245895]"
62073,1921,10410,"[401940, 237931, 228080, 246875, 401941]"
62074,1921,10410,"[227361, 401944, 401943, 237931]"
62076,1921,10410,"[228055, 401961, 401940, 401963, 402011, 401941]"
62120,1921,10410,"[401946, 401949, 401950, 401952]"
102011,1921,11904,"[401600, 253384, 449487, 253370, 259147, 411000, 449515, 449616, 246239, 259611, 238359, 544840, 449494, 236008]"
102012,1921,11904,"[401600, 253384, 253370, 406754, 449515, 449616, 259611, 410995, 238359, 248710, 449494, 449488]"
102013,1921,11904,"[253370, 449515, 248710, 449494]"
114874,1921,10410,"[402031, 228045, 402042, 477619, 401944, 228055, 477618, 402164, 401952]"
118359,1921,15300,"[501523, 227150, 502258, 400662, 502260]"
118361,1921,15300,[452512]
122705,1921,3910,"[484038, 470908, 452983, 484041, 238285, 484039, 484037, 228849]"
137347,1921,14935,"[484038, 470908, 452983, 484041, 238285, 484039, 484037, 228849]"
144401,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
145222,1921,11904,"[401600, 240226, 253370, 449518, 449515, 449616, 259611, 238359, 248710, 449488]"
145223,1921,11904,"[253384, 449487, 253370, 411000, 449515, 447001, 449616, 246239, 259611, 410995, 238359, 248710, 449494, 236008, 449490]"
145224,1921,11904,"[401600, 449515, 259611, 461223, 449494, 449501]"
145225,1921,11904,"[460839, 460838, 238802, 239022, 238393, 449816, 253400, 403125, 401655, 407391, 236795]"
147118,1921,14031,"[451615, 258732, 520229, 520259, 483802, 483800, 520204, 520231, 402078, 520255, 483782, 520248, 520258, 442650, 520256, 520233, 483804]"
150784,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
150785,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
150786,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
150787,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
150788,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
150789,1921,4236,"[235455, 515335, 515334, 253646, 235473, 226109, 442390, 233375, 438664, 438643, 251134, 253654, 254033]"
151489,1921,3257,"[545510, 489580, 247631, 545508, 235611, 545509, 405858, 545544, 483580]"
151495,1921,4236,"[449291, 235467]"
151496,1921,4236,"[449291, 235467]"
151510,1921,2849,"[238775, 402130, 259148, 233027, 235609, 411030, 230701, 238771, 411205, 233026, 240236, 248678]"
151526,1921,1403,"[226110, 226111, 226102, 225910, 226104, 226101, 226107, 226108, 226103, 226109, 226112, 226114, 226115, 226113, 226106]"
151557,1921,3257,"[400654, 400653]"
151558,1921,3257,"[400654, 400653]"
151564,1921,1403,"[253849, 236376, 401370, 238588]"
151565,1921,2849,"[259316, 524980]"
151568,1921,4236,"[449295, 254005, 449290, 232963, 253636, 449294, 449292, 449291, 231773]"
151569,1921,3257,"[253627, 253412, 253626, 253625]"
151570,1921,1403,"[238604, 237985, 226704, 238625, 226746, 238387, 237950]"
151575,1921,11904,[259316]
151576,1921,2849,"[238775, 259148, 233027, 411030, 230701, 259486, 407442, 407292, 259459, 259521, 401602, 233026, 414530, 248678]"
151577,1921,2849,"[238380, 233027, 411035, 230701, 238777, 411033, 401602, 253359, 240236, 411034, 411031, 411032]"
151579,1921,3257,[252804]
152003,1921,19597,"[526984, 527006, 400662, 413950, 516279, 478146, 527016, 257098]"
152030,1921,19597,"[505670, 527112, 527114, 473388, 527008, 526947, 527109, 527107, 253635, 464772, 499968, 488600, 527106, 487869, 450011, 257098, 526954]"
152031,1921,10585,"[413950, 527119]"
152032,1921,19681,"[527147, 527137, 513664, 527154, 527136, 527138, 527152, 527145, 527143, 527139, 449608, 527150, 527148, 527141, 527153]"
152034,1921,20398,"[400662, 513701, 527158, 240231, 258761, 527093]"
152036,1921,20398,"[527004, 473388, 253410, 516279, 527161, 511616, 235465]"
153389,1921,1403,"[502531, 253669, 530285, 236698, 404843, 228166, 253393, 401379, 236699, 259474, 401081]"
160563,1921,1403,"[544833, 252813, 401277, 237989, 252800, 238625, 230969, 544835, 252812, 252802, 252803, 400659, 412149, 252801, 544836]"
160566,1921,3257,"[238775, 259148, 233027, 235609, 413005, 230701, 447051, 248678]"
26645,1922,11904,"[238776, 238775, 411042, 238380, 259148, 233027, 238622, 411204, 230701, 259521, 411205, 233026, 411199, 253359, 240236, 400909, 411200, 259817]"
26646,1922,1403,"[253366, 239022, 237989, 253365, 253363, 253362]"
26647,1922,1403,[462368]
26648,1922,3257,"[400964, 236698, 233238, 259359]"
26649,1922,1403,"[253371, 253370, 253372, 237985, 253373, 248678]"
