venue_id,longitude,latitude,first_year,last_year,total_events,time_span
14935,151.211592,-33.86551,1920,1951,102,31
10410,151.208897,-33.875422,1920,1922,14,2
1403,151.207599,-33.871828,1920,1969,128,49
2849,151.209475,-33.86892,1920,1972,441,52
15300,151.209189,-33.873167,1920,1929,46,9
16152,151.206196,-33.878774,1920,1920,1,0
4236,151.208141,-33.87993,1920,1932,133,12
17898,151.20478,-33.879801,1920,1925,4,5
19681,151.207831,-33.873492,1920,1922,3,2
19686,151.203675,-33.882657,1920,1925,3,5
11904,151.208483,-33.870577,1920,1933,141,13
3257,151.208253,-33.873291,1920,1935,174,15
20398,151.208361,-33.871973,1920,1925,10,5
3910,151.211815,-33.866465,1921,1934,8,13
19597,151.208489,-33.869683,1921,1921,2,0
10585,151.206423,-33.879427,1921,1924,4,3
14031,151.206256,-33.86317,1921,1921,1,0
20864,151.205917,-33.875433,1922,1924,2,2
19692,151.213394,-33.877034,1922,1922,1,0
20866,151.206196,-33.878774,1922,1922,1,0
20865,151.208355,-33.872845,1922,1922,1,0
2782,151.21419,-33.863454,1923,1980,57,57
19710,151.203675,-33.882657,1923,1923,1,0
19688,151.207096,-33.870962,1923,1924,2,1
20871,151.208485,-33.871984,1923,1923,2,0
19905,151.208596,-33.868554,1924,1924,1,0
3012,151.207599,-33.871828,1924,1926,24,2
20913,151.206972,-33.875422,1924,1924,1,0
4751,151.209783,-33.877878,1924,1946,7,22
20880,151.204291,-33.881424,1924,1924,1,0
10725,151.211196,-33.869468,1926,1960,17,34
4295,151.209966,-33.868794,1926,1964,2,38
4653,151.208668,-33.868333,1926,1926,1,0
2797,151.2037176,-33.8823358,1927,1960,57,33
13527,151.21113,-33.87702,1927,1933,4,6
1755,151.206022,-33.873179,1929,2020,29,91
10934,151.218369,-33.876144,1929,1931,50,2
17887,151.207803,-33.87056,1929,1931,4,2
2840,151.210254,-33.865652,1929,1937,87,8
14923,151.211174,-33.862598,1929,1931,2,2
14972,151.21521,-33.87925,1929,1930,2,1
15226,151.206767,-33.885692,1930,1938,5,8
14924,151.210882,-33.877105,1930,1930,1,0
15326,151.211173,-33.862597,1931,1931,2,0
14102,151.208265,-33.873572,1931,1932,12,1
14009,151.218369,-33.876144,1932,1940,20,8
19441,151.207806,-33.872201,1932,1932,1,0
2777,151.208141,-33.87993,1932,1968,247,36
14144,151.20779,-33.86892,1932,1934,4,2
14146,151.20938,-33.87434,1932,1933,2,1
14994,151.205112,-33.872094,1932,1933,15,1
2845,151.206303,-33.868517,1932,1940,17,8
17329,151.20839,-33.879975,1932,1932,1,0
17899,151.20478,-33.879801,1933,1935,4,2
14109,151.20716,-33.87049,1933,1934,3,1
19376,151.207803,-33.87056,1933,1933,1,0
3909,151.212481,-33.862578,1933,1933,1,0
3906,151.215577,-33.878914,1933,1933,2,0
13608,151.205217,-33.872132,1934,1938,7,4
14120,151.2105,-33.87702,1934,1936,13,2
15190,151.213729,-33.859717,1934,1944,6,10
3900,151.209024,-33.86285,1935,1940,22,5
14926,151.206398,-33.868628,1935,1935,3,0
14929,151.208071,-33.873625,1935,1935,1,0
14973,151.20974725495,-33.87018548265,1935,1936,2,1
14139,151.20686,-33.87735,1937,1939,2,2
15265,151.20753,-33.862773,1937,1938,4,1
15127,151.205967,-33.878126,1938,1950,28,12
2772,151.224555,-33.87208,1939,1950,98,11
20080,151.205955,-33.878221,1939,1939,1,0
14019,151.208283,-33.86072,1939,1940,4,1
3697,151.207383,-33.869959,1939,1955,8,16
3545,151.21419,-33.863454,1939,1948,4,9
14086,151.206944,-33.870197,1940,1940,1,0
11294,151.20709,-33.868901,1940,1999,5,59
17884,151.211705,-33.866963,1941,1942,2,1
3740,151.211832,-33.863763,1942,1946,6,4
14104,151.20824808389,-33.87081491644,1942,1979,27,37
16518,151.212448,-33.864053,1943,1945,2,2
2789,151.208947,-33.872418,1943,1953,58,10
4752,151.20746,-33.872135,1945,1947,18,2
3571,151.205758,-33.86473,1945,1977,6,32
14131,151.218369,-33.876144,1946,1946,5,0
