window,contributor_id,degree,weighted_degree,betweenness,name
1920-1921,235609,17,55,3.2e-05,Dorothy Brunton
1920-1921,253412,7,7,0.008611,Cecil Brooking
1920-1921,238780,4,4,0.0,Emélie Polini
1920-1921,253410,32,32,0.129269,John de Lacey
1920-1921,238626,27,27,0.007131,Maggie Moore
1920-1921,236123,19,19,0.00673,Marie Ney
1920-1921,238775,23,75,6.1e-05,Alfred Frith
1920-1921,233027,30,87,0.001695,Cyril Ritchard
1920-1921,230701,30,94,0.001693,Field Fisher
1920-1921,259459,21,27,0.045672,Gracie Lavers
1920-1921,233026,23,69,9.7e-05,Madge Elliott
1920-1921,542131,12,12,4e-06,Alice Bentley
1920-1921,259460,16,16,0.033835,Chester Clute
1920-1921,401245,12,15,0.0,Dorothy South 
1920-1921,542133,12,12,4e-06,Georgia Harvey
1920-1921,401586,12,12,4e-06,Herbert Ranson
1920-1921,228667,12,15,0.0,Margery Weston
1920-1921,542130,12,12,4e-06,Marion Earle
1920-1921,533032,12,12,4e-06,Milton Owen
1920-1921,542129,12,12,4e-06,Peggy Maloney
1920-1921,412695,12,12,4e-06,Rawdon Blandford
1920-1921,401243,12,15,0.0,Robert Jewett
1920-1921,401244,12,15,0.0,Thomas Pauncefort
1920-1921,542132,12,12,4e-06,Velma Hinkle
1920-1921,235456,36,36,0.012121,Arthur Styan
1920-1921,401077,26,35,0.004137,Beryl Bryant
1920-1921,538659,13,13,0.000252,Carlton Stuart
1920-1921,401078,14,25,7.9e-05,Dorothy Manville
1920-1921,252813,37,44,0.015624,Dorothy Seacombe
1920-1921,401277,26,27,0.007446,E Pirie Bush
1920-1921,236698,45,77,0.005181,Emma Temple
1920-1921,401079,14,25,7.9e-05,Frank Freeman
1920-1921,235515,13,18,1.1e-05,Fred Coape
1920-1921,237985,37,57,0.016264,George Blunt
1920-1921,413954,13,13,0.000252,Meta Pelham
1920-1921,401081,26,47,0.000391,Mrs Robert Brough
1920-1921,401080,14,25,7.9e-05,Percy Rhodes
1920-1921,412977,13,13,0.000252,Wilfrid Hilary
1920-1921,238802,36,56,0.016856,Charles Howard
1920-1921,406758,13,26,0.0,Frank Greene
1920-1921,259156,34,54,0.007995,Frank Harcourt
1920-1921,236711,26,46,0.000384,Gus Bluett
1920-1921,406762,26,46,0.000384,Gwen Ives
1920-1921,257100,26,46,0.000384,Herbert C Walton
1920-1921,400965,29,49,0.018863,Jennie  Hartley
1920-1921,406763,13,26,0.0,Mel Ward
